,REF,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating,Company Location PT
48,2462,Acalli,USA,2020,Mexico,"Teapa, Tabasco, batch 2","0,74","2- B,S","herbal, molasses, hammy","3,25",EUA
49,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,"0,88","3- B,S,C","orange, floral, lemon","3,5",Fiji
50,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA","0,72","3- B,S,C",cocoa and powerful tang,"3,5",Fiji
51,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A","0,8","3- B,S,C",spicy and candy-like,"3,25",Fiji
52,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,"0,6","3- B,S,C","sweet, sublte strawberry","2,75",Fiji
53,2438,Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19","0,7","2- B,S","sandy, woody, spicy, sweet","3,0",Vanuatu
54,2438,Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19","0,7","2- B,S","basic, sweet, cocoa, woody","2,75",Vanuatu
55,2442,Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19","0,7","2- B,S","sweet, cocoa, rubbery","2,75",Vanuatu
56,2438,Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19","0,7","2- B,S","unrefined, sweet, metallic","2,5",Vanuatu
57,370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba","0,7","4- B,S,C,V","roasty, nutty, coffee","3,0",Equador
58,370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba","0,55","4- B,S,C,V","sandy, sweet, banana cream","2,75",Equador
59,316,Ah Cacao,Mexico,2009,Mexico,Tabasco,"0,7","3- B,S,C","gritty, spice, cocoa","3,0",México
60,502,Akesson's (Pralus),UK,2010,Madagascar,"Madagascar, Ambolikapiky P.","0,75","4- B,S,C,L","strong pepper, musty","2,75",Reino Unido
61,508,Akesson's (Pralus),UK,2010,Brazil,"Monte Alegre, D. Badero","0,75","4- B,S,C,L","fatty, intense, woody","2,75",Reino Unido
62,636,Akesson's (Pralus),UK,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area","0,75","4- B,S,C,L","hay, nut, berry","3,75",Reino Unido
63,1061,Alain Ducasse,France,2013,Venezuela,Chuao,"0,75","5- B,S,C,V,L","sandy, dirt, ashey","2,5",França
64,1173,Alain Ducasse,France,2013,Peru,"Piura, Perou","0,75","5- B,S,C,V,L","cardboard, dirt, roasty","2,5",França
65,1215,Alain Ducasse,France,2014,Madagascar,Madagascar,"0,75","5-B,S,C,V,Sa","citrus, fatty, dairy","3,0",França
66,1215,Alain Ducasse,France,2014,Trinidad,Trinite,"0,65","6-B,S,C,V,L,Sa","roasty, sweet, savory","2,75",França
67,1215,Alain Ducasse,France,2014,Vietnam,Vietnam,"0,75","5-B,S,C,V,Sa","nutty, roasty, odd dairy","2,75",França
68,1992,Alain Ducasse,France,2017,Mexico,"Porcelana, Mexique","0,75","6-B,S,C,V,L,Sa","strawberry, cream, gateway","3,5",França
69,1944,Alexandre,Netherlands,2017,Ecuador,"Winak Coop, Napo","0,7","3- B,S,C","sandy, green, floral","3,5",Holanda
70,1944,Alexandre,Netherlands,2017,Nicaragua,"La Dalia, Matagalpa","0,7","3- B,S,C","sandy, sweet, nibby","3,5",Holanda
71,1944,Alexandre,Netherlands,2017,Tanzania,"Makwale Village, Kyela","0,7","3- B,S,C","sandy, melon, banana","3,5",Holanda
72,1944,Alexandre,Netherlands,2017,Vietnam,Tien Giang,"0,7","3- B,S,C","sandy, sweet, roasty","3,5",Holanda
73,2884,Allo Simonne,Canada,2024,Philippines,"Cotabato, lot 307-339-23","0,7","3- B,S,C","muted,spice notes, nutty, cocoa","3,0",Canadá
74,1129,Altus aka Cao Artisan,USA,2013,Bolivia,"Bolivia, batch 101","0,8","4- B,S,C,L","gritty, berry, mild bitter","3,25",EUA
75,1133,Altus aka Cao Artisan,USA,2013,Peru,"Peru, batch 148","0,6","4- B,S,C,L","gritty, too sweet, fruit","3,25",EUA
76,1125,Altus aka Cao Artisan,USA,2013,Dominican Republic,"Conacado, batch 130","0,6","4- B,S,C,L","sandy, sweet, dairy, spice","3,0",EUA
77,1133,Altus aka Cao Artisan,USA,2013,Bolivia,"Bolivia, batch 154","0,6","4- B,S,C,L","grit, sweet, caramel, fruit","3,0",EUA
78,1125,Altus aka Cao Artisan,USA,2013,Venezuela,Sur del Lago,"0,6","4- B,S,C,L","sweet, moldy, off","2,5",EUA
79,1728,Altus aka Cao Artisan,USA,2016,Peru,Acopagro,"0,6","3- B,S,C","dry, sweet, caramel","3,0",EUA
80,1728,Altus aka Cao Artisan,USA,2016,Nicaragua,Momotombo,"0,6","3- B,S,C","powdery, sweet, molasses","2,75",EUA
81,1732,Altus aka Cao Artisan,USA,2016,Ecuador,Gruppo Salinas,"0,6","3- B,S,C","sandy, nutty, earthy, roasty","2,75",EUA
82,1732,Altus aka Cao Artisan,USA,2016,Bolivia,CIAAB Coop,"0,6","3- B,S,C","sandy, sweet, pungent","2,5",EUA
83,1732,Altus aka Cao Artisan,USA,2016,Peru,Villa Andina,"0,6","3- B,S,C","sandy, sweet, sour, off","2,5",EUA
84,2044,Altus aka Cao Artisan,USA,2018,Dominican Republic,Oko Caribe,"0,7","3- B,S,C","sweet, coarse, nutty","3,0",EUA
85,175,Amano,USA,2007,Venezuela,Ocumare,"0,7","4- B,S,C,V","spicy, strawberry","3,75",EUA
86,129,Amano,USA,2007,Madagascar,Madagascar,"0,7","4- B,S,C,V","spice, nut, cocoa, fruit","3,5",EUA
87,304,Amano,USA,2008,Indonesia,"Bali, Jembrana","0,7","4- B,S,C,V","sticky, nutty, high acidity","2,75",EUA
88,363,Amano,USA,2009,Venezuela,Montanya,"0,7","4- B,S,C,V","hot spice, roasty","3,0",EUA
89,470,Amano,USA,2010,Ecuador,Guayas,"0,7","4- B,S,C,V","strong spice, intense pepper","4,0",EUA
90,470,Amano,USA,2010,Dominican Republic,Dos Rios,"0,7","4- B,S,C,V","orange, cinamon","3,75",EUA
91,544,Amano,USA,2010,Venezuela,Chuao,"0,7","4- B,S,C,V","woody, red berry, sour","3,0",EUA
92,725,Amano,USA,2011,Papua New Guinea,Morobe,"0,7","4- B,S,C,V","tart, lemon, smoke","4,0",EUA
